,,2030,2030,2040,2040,2050,2050
,,min,max,min,max,min,max
country,carrier,,,,,,
BE,onwind,4200,6000,,,,
BE,offwind-all,5760,8000,,8000,,8000
BE,solar-all,14000,14000,,,,
DE,onwind,68000,,,,,
GB,onwind,15000,,,,,
FR,onwind,24000,,,,,
NL,onwind,7000,,,,,
DE,solar-all,117000,,,,,
GB,solar-all,20000,,,,,
FR,solar-all,31000,,,,,
NL,solar-all,25000,,,,,
DE,offwind-all,10000,,,,,
FR,offwind-all,1600,,,,,
NL,offwind-all,4700,,,,,
GB,offwind-all,16000,,,,,
